iteration,best_solution,average_solution
1079,3200,3226.02
1080,3200,3226.02
1081,3200,3226.02
1082,3200,3233.04
1083,3200,3233.04
1084,3200,3233.04
1085,3200,3233.04
1086,3200,3233.04
1087,3200,3231.56
1088,3200,3231.56
1089,3200,3231.56
1090,3200,3242.44
1091,3200,3242.44
1092,3200,3239.22
1093,3200,3239.22
1094,3200,3239.22
1095,3200,3235.64
1096,3200,3235.64
1097,3200,3235.64
1098,3200,3237.64
1099,3200,3237.64
1100,3200,3237.64
1101,3200,3237.64
1102,3200,3233.84
1103,3200,3240.44
1104,3200,3240.44
1105,3200,3240.44
1106,3200,3240.44
1107,3200,3240.44
1108,3200,3240.44
1109,3200,3240.44
1110,3200,3240.44
1111,3200,3240.44
1112,3200,3238.52
1113,3200,3246.92
1114,3200,3246.92
1115,3200,3250.28
1116,3200,3250.28
1117,3200,3250.28
1118,3200,3241.76
1119,3200,3241.76
1120,3200,3241.76
1121,3200,3241.76
1122,3200,3241.76
1123,3200,3241.76
1124,3200,3241.76
1125,3200,3242.4
1126,3200,3242.46
1127,3200,3242.46
1128,3200,3242.46
1129,3200,3242.46
1130,3200,3242.46
1131,3200,3242.46
1132,3200,3243.4
1133,3200,3240.04
1134,3200,3240.04
1135,3200,3233.44
1136,3200,3222.56
1137,3200,3222.56
1138,3200,3222.56
1139,3200,3221.92
1140,3200,3221.92
1141,3200,3225.28
1142,3200,3225.28
1143,3200,3225.28
1144,3200,3225.28
1145,3200,3223.28
1146,3200,3223.28
1147,3200,3223.28
1148,3200,3216.26
1149,3200,3216.26
1150,3200,3216.26
1151,3200,3216.26
1152,3200,3222.12
1153,3200,3225.4
1154,3200,3225.4
1155,3200,3225.4
1156,3200,3225.4
1157,3200,3225.4
1158,3200,3225.4
1159,3200,3225.4
1160,3200,3225.4
1161,3200,3227.88
1162,3200,3227.82
1163,3200,3231.28
1164,3200,3231.28
1165,3200,3222.88
1166,3200,3222.88
1167,3200,3222.88
1168,3200,3222.88
1169,3200,3222.88
1170,3200,3228.94
1171,3200,3228.94
1172,3200,3228.94
1173,3200,3228.94
1174,3200,3230.78
1175,3200,3238.62
1176,3200,3230.78
1177,3200,3228.3
1178,3200,3228.3
1179,3200,3228.3
1180,3200,3228.3
1181,3200,3228.3
1182,3200,3228.3
1183,3200,3222.24
1184,3200,3222.24
1185,3200,3218.88
1186,3200,3215.42
1187,3200,3215.42
1188,3200,3216.14
1189,3200,3216.14
1190,3200,3216.14
1191,3200,3216.14
1192,3200,3216.14
1193,3200,3222.32
1194,3200,3222.32
1195,3200,3222.32
1196,3200,3220.28
1197,3200,3220.28
1198,3200,3220.28
1199,3200,3220.28
1200,3200,3214.1
1201,3200,3214.1
1202,3200,3214.1
1203,3200,3214.1
1204,3200,3214.1
1205,3200,3214.1
1206,3200,3214.1
1207,3200,3214.1
1208,3200,3214.1
1209,3200,3214.1
1210,3200,3214.1
1211,3200,3211.92
1212,3200,3211.92
1213,3200,3211.92
1214,3200,3211.92
1215,3200,3211.92
1216,3200,3211.92
1217,3200,3211.92
1218,3200,3211.92
1219,3200,3211.92
1220,3200,3211.92
1221,3200,3214.96
1222,3200,3214.96
1223,3200,3214.96
1224,3200,3214.96
1225,3200,3214.96
1226,3200,3209.1
1227,3200,3206.06
1228,3200,3206.06
1229,3200,3206.06
1230,3200,3206.06
1231,3200,3206.06
1232,3200,3206.06
1233,3200,3209.96
1234,3200,3209.96
1235,3200,3209.96
1236,3200,3209.96
1237,3200,3209.96
1238,3200,3209.96
1239,3200,3209.96
1240,3200,3218.36
1241,3200,3218.36
1242,3200,3218.36
1243,3200,3220.36
1244,3200,3220.36
1245,3200,3220.36
1246,3200,3220.36
1247,3200,3220.36
1248,3200,3220.36
1249,3200,3220.36
1250,3200,3220.36
1251,3200,3220.36
1252,3200,3220.36
1253,3200,3220.36
1254,3200,3219.42
1255,3200,3219.42
1256,3200,3219.42
1257,3200,3219.42
1258,3200,3219.42
1259,3200,3216.14
1260,3200,3216.14
1261,3200,3216.14
1262,3200,3216.14
1263,3200,3216.14
1264,3200,3223.9
1265,3200,3223.9
1266,3200,3223.9
1267,3200,3223.9
1268,3200,3223.9
1269,3200,3223.9
1270,3200,3223.9
1271,3200,3223.9
1272,3200,3215.5
1273,3200,3215.5
1274,3200,3215.5
1275,3200,3215.5
1276,3200,3215.5
1277,3200,3215.5
1278,3200,3215.5
1279,3200,3215.5
1280,3200,3215.5
1281,3200,3215.5
1282,3200,3215.5
1283,3200,3215.5
1284,3200,3215.5
1285,3200,3215.5
1286,3200,3215.5
1287,3200,3215.5
1288,3200,3215.5
1289,3200,3215.5
1290,3200,3215.5
1291,3200,3215.5
1292,3200,3216.78
1293,3200,3216.78
1294,3200,3222.64
1295,3200,3222.64
1296,3200,3222.64
1297,3200,3222.64
1298,3200,3222.64
1299,3200,3222.64
1300,3200,3222.64
1301,3200,3222.64
1302,3200,3222.64
1303,3200,3222.64
1304,3200,3222.64
1305,3200,3222.64
1306,3200,3222.64
1307,3200,3222.64
1308,3200,3222.64
1309,3200,3222.64
1310,3200,3222.64
1311,3200,3222.64
1312,3200,3222.64
1313,3200,3222.64
1314,3200,3222.64
1315,3200,3222.64
1316,3200,3222.64
1317,3200,3223.82
1318,3200,3223.82
1319,3200,3223.82
1320,3200,3223.82
1321,3200,3223.82
1322,3200,3223.82
1323,3200,3223.82
1324,3200,3223.82
1325,3200,3223.82
1326,3200,3223.82
1327,3200,3217.96
1328,3200,3219.64
1329,3200,3216.52
1330,3200,3212.62
1331,3200,3212.62
1332,3200,3212.62
1333,3200,3212.62
1334,3200,3212.62
1335,3200,3210.94
1336,3200,3210.94
1337,3200,3210.94
1338,3200,3210.94
1339,3200,3210.94
1340,3200,3210.94
1341,3200,3216.74
1342,3200,3216.74
1343,3200,3216.74
1344,3200,3216.74
1345,3200,3216.74
1346,3200,3216.74
1347,3200,3216.74
1348,3200,3216.74
1349,3200,3216.74
1350,3200,3216.74
1351,3200,3216.74
1352,3200,3216.74
1353,3200,3216.74
1354,3200,3216.74
1355,3200,3216.74
1356,3200,3222.76
