,Generation,Best Solution,m,n,k,Iteration
2,1000,27035,5,8,50,8
1,10000,26210,5,8,50,8
0,20000,24579,5,8,50,8
2,1000,29802,2,3,10,9
1,10000,27724,2,3,10,9
0,20000,26490,2,3,10,9
2,1000,28377,2,3,20,9
1,10000,27168,2,3,20,9
0,20000,24461,2,3,20,9
2,1000,42418,2,3,50,9
1,10000,34216,2,3,50,9
0,20000,32437,2,3,50,9
2,1000,26985,2,5,10,9
1,10000,24873,2,5,10,9
0,20000,23488,2,5,10,9
2,1000,32782,2,5,20,9
1,10000,29360,2,5,20,9
0,20000,26545,2,5,20,9
2,1000,32048,2,5,50,9
1,10000,28667,2,5,50,9
0,20000,27022,2,5,50,9
2,1000,25763,2,8,10,9
1,10000,22862,2,8,10,9
0,20000,22269,2,8,10,9
2,1000,31047,2,8,20,9
1,10000,25591,2,8,20,9
0,20000,24494,2,8,20,9
2,1000,31928,2,8,50,9
1,10000,29392,2,8,50,9
0,20000,25564,2,8,50,9
2,1000,25778,3,3,10,9
1,10000,23314,3,3,10,9
0,20000,23302,3,3,10,9
2,1000,29557,3,3,20,9
1,10000,27356,3,3,20,9
0,20000,25340,3,3,20,9
2,1000,30918,3,3,50,9
1,10000,28651,3,3,50,9
0,20000,27204,3,3,50,9
2,1000,29948,3,5,10,9
1,10000,25333,3,5,10,9
0,20000,23661,3,5,10,9
2,1000,40096,3,5,20,9
1,10000,31641,3,5,20,9
0,20000,26505,3,5,20,9
2,1000,30180,3,5,50,9
1,10000,27007,3,5,50,9
0,20000,24885,3,5,50,9
2,1000,34962,3,8,10,9
1,10000,24339,3,8,10,9
0,20000,23109,3,8,10,9
2,1000,35830,3,8,20,9
1,10000,28814,3,8,20,9
0,20000,23074,3,8,20,9
2,1000,27405,3,8,50,9
1,10000,25368,3,8,50,9
0,20000,24777,3,8,50,9
2,1000,25846,5,3,10,9
1,10000,23379,5,3,10,9
0,20000,22179,5,3,10,9
2,1000,90652,5,3,20,9
1,10000,42786,5,3,20,9
0,20000,34550,5,3,20,9
2,1000,27453,5,3,50,9
1,10000,26782,5,3,50,9
0,20000,25596,5,3,50,9
2,1000,31108,5,5,10,9
1,10000,24693,5,5,10,9
0,20000,23712,5,5,10,9
2,1000,28527,5,5,20,9
1,10000,25320,5,5,20,9
0,20000,23724,5,5,20,9
2,1000,37710,5,5,50,9
1,10000,30997,5,5,50,9
0,20000,28503,5,5,50,9
2,1000,26061,5,8,10,9
1,10000,23882,5,8,10,9
0,20000,23339,5,8,10,9
2,1000,29529,5,8,20,9
1,10000,25398,5,8,20,9
0,20000,24222,5,8,20,9
2,1000,28062,5,8,50,9
1,10000,25131,5,8,50,9
0,20000,23344,5,8,50,9
2,1000,31724,2,3,10,10
1,10000,27492,2,3,10,10
0,20000,25645,2,3,10,10
2,1000,36837,2,3,20,10
1,10000,28080,2,3,20,10
0,20000,24736,2,3,20,10
2,1000,30434,2,3,50,10
1,10000,27587,2,3,50,10
0,20000,27348,2,3,50,10
2,1000,29676,2,5,10,10
1,10000,25114,2,5,10,10
0,20000,23063,2,5,10,10
2,1000,29742,2,5,20,10
1,10000,25837,2,5,20,10
0,20000,23921,2,5,20,10
2,1000,25677,2,5,50,10
1,10000,25005,2,5,50,10
0,20000,24536,2,5,50,10
2,1000,25682,2,8,10,10
1,10000,24233,2,8,10,10
0,20000,23781,2,8,10,10
2,1000,27619,2,8,20,10
1,10000,24173,2,8,20,10
0,20000,23367,2,8,20,10
2,1000,30760,2,8,50,10
1,10000,26983,2,8,50,10
0,20000,26344,2,8,50,10
2,1000,26301,3,3,10,10
1,10000,23129,3,3,10,10
0,20000,22300,3,3,10,10
2,1000,26083,3,3,20,10
1,10000,23719,3,3,20,10
0,20000,23271,3,3,20,10
2,1000,31673,3,3,50,10
1,10000,29720,3,3,50,10
0,20000,27971,3,3,50,10
2,1000,32798,3,5,10,10
1,10000,25968,3,5,10,10
0,20000,24947,3,5,10,10
2,1000,26123,3,5,20,10
1,10000,23061,3,5,20,10
0,20000,22918,3,5,20,10
2,1000,27169,3,5,50,10
1,10000,25231,3,5,50,10
0,20000,24274,3,5,50,10
2,1000,32169,3,8,10,10
1,10000,24908,3,8,10,10
0,20000,23592,3,8,10,10
2,1000,26478,3,8,20,10
1,10000,24987,3,8,20,10
0,20000,23055,3,8,20,10
2,1000,26530,3,8,50,10
1,10000,25603,3,8,50,10
0,20000,24479,3,8,50,10
2,1000,39009,5,3,10,10
1,10000,26813,5,3,10,10
0,20000,24697,5,3,10,10
2,1000,31641,5,3,20,10
