,Generation,Best Solution,CrossOver,Mutation,Iteration
2,1000,4316,OX,IVM,23
1,10000,4270,OX,IVM,23
0,20000,4174,OX,IVM,23
2,1000,3959,OX,SM,23
1,10000,3958,OX,SM,23
0,20000,3958,OX,SM,23
2,1000,5227,OX,RM,23
1,10000,5166,OX,RM,23
0,20000,5105,OX,RM,23
2,1000,3127,SCX,ISM,23
1,10000,3127,SCX,ISM,23
0,20000,3127,SCX,ISM,23
2,1000,3127,SCX,IVM,23
1,10000,3127,SCX,IVM,23
0,20000,3127,SCX,IVM,23
2,1000,3127,SCX,SM,23
1,10000,3127,SCX,SM,23
0,20000,3127,SCX,SM,23
2,1000,3131,SCX,RM,23
1,10000,3131,SCX,RM,23
0,20000,3131,SCX,RM,23
2,1000,3641,OX,ISM,24
1,10000,3641,OX,ISM,24
0,20000,3630,OX,ISM,24
2,1000,3641,OX,IVM,24
1,10000,3638,OX,IVM,24
0,20000,3637,OX,IVM,24
2,1000,3641,OX,SM,24
1,10000,3636,OX,SM,24
0,20000,3636,OX,SM,24
2,1000,3163,OX,RM,24
1,10000,3139,OX,RM,24
0,20000,3139,OX,RM,24
2,1000,3144,SCX,ISM,24
1,10000,3144,SCX,ISM,24
0,20000,3144,SCX,ISM,24
2,1000,3144,SCX,IVM,24
1,10000,3144,SCX,IVM,24
0,20000,3144,SCX,IVM,24
2,1000,3360,SCX,SM,24
1,10000,3360,SCX,SM,24
0,20000,3360,SCX,SM,24
2,1000,3203,SCX,RM,24
1,10000,3203,SCX,RM,24
0,20000,3203,SCX,RM,24
2,1000,3405,OX,ISM,25
1,10000,3405,OX,ISM,25
0,20000,3328,OX,ISM,25
2,1000,3370,OX,IVM,25
1,10000,3357,OX,IVM,25
0,20000,3349,OX,IVM,25
2,1000,3370,OX,SM,25
1,10000,3368,OX,SM,25
0,20000,3294,OX,SM,25
2,1000,3220,OX,RM,25
1,10000,3194,OX,RM,25
0,20000,3178,OX,RM,25
2,1000,3191,SCX,ISM,25
1,10000,3191,SCX,ISM,25
0,20000,3191,SCX,ISM,25
2,1000,3178,SCX,IVM,25
1,10000,3178,SCX,IVM,25
0,20000,3157,SCX,IVM,25
2,1000,3191,SCX,SM,25
1,10000,3191,SCX,SM,25
0,20000,3191,SCX,SM,25
2,1000,3196,SCX,RM,25
1,10000,3196,SCX,RM,25
0,20000,3196,SCX,RM,25
2,1000,3536,OX,ISM,26
1,10000,3484,OX,ISM,26
0,20000,3478,OX,ISM,26
2,1000,3558,OX,IVM,26
1,10000,3558,OX,IVM,26
0,20000,3506,OX,IVM,26
2,1000,3411,OX,SM,26
1,10000,3396,OX,SM,26
0,20000,3378,OX,SM,26
2,1000,3498,OX,RM,26
1,10000,3394,OX,RM,26
0,20000,3380,OX,RM,26
2,1000,3033,SCX,ISM,26
1,10000,3033,SCX,ISM,26
0,20000,3033,SCX,ISM,26
2,1000,3004,SCX,IVM,26
1,10000,2995,SCX,IVM,26
0,20000,2992,SCX,IVM,26
2,1000,3048,SCX,SM,26
1,10000,3048,SCX,SM,26
